club_name,club_address,club_id,club_status
@ Bar and Bites,165 Clapham High Street; Clapham; SW4 755,22343,open
100 Club,"100 Oxford Street, W1D 1LL",28125,open
100 Wardour Street,"100 Wardour Street, W1F 0TN",114465,open
125 Church Street,"125 Stoke Newington Church St, N16 0UH",96879,open
12th Knot Rooftop Bar,"20 Upper Ground, South Bank, SE1 9PD",167353,open
14,Leicester Square WC2H 7NG,176279,open
15-19 Garman Road,"15-19 Garman Road, N17 0YU",182256,open
229 The Venue,"229 Great Portland Street, Fitzrovia, W1W 5PN",9305,open
26 Leake Street,"26 Leake St, South Bank, SE1 7NN",153428,open
289,"Railway Arches, 289 The, Cambridge Heath Rd, E2 9HA",176112,open
37 Jewry,"37 Jewry Street, EC3N 2ER",124705,open
4th Floor West,"255 - 259 Commercial Road, E1 2BT",45176,open
512 London,512 Kingsland Road; Dalston; E8 4AE,11563,open
55 East,"53-63 East St, Walworth, SE17 2DJ",176274,open
640east,"Railway Arches 159-161, Malcolm Place, Bethnal Green, E2 0EU",172062,open
93 Feet East,"The Old Truman Brewery, 150 Brick Lane; Shoreditch; E1 6RU",734,open
Aaja Deptford,"Arch 2, Deptford Market Yard, Deptford",158538,open
Ace Hotel,"100 Shoreditch High Street, Shoreditch",85510,open
"The ACT, Kingston College","Kingston Hall Road, Kingston upon Thames, KT1 2AQ",151884,open
Afrikiko Bar Restaurant & Club,"871 Old Kent Rd, SE15 1NX",184569,open
AIRspace Brixton,302-304 Barrington Road; Brixton; SW9 7JJ,87844,open
Albany - Deptford,Douglas Way; Deptford; SE8 4AG,29751,open
"The Alchemist, Bevis Marks","6 Bevis Marks, EC3A 7BA",155388,open
Alexandra Palace,Alexandra Palace Way; Alexandra Palace; N22 7AY,1585,open
All Star Lanes,95 Brick Lane; Shoreditch; E1 6QL,19212,open
Altitude 360,"29th Floor, Millbank Tower, 21-24 Millbank, SW1P 4QP",43483,open
Amersham Arms,388 New Cross Road; New Cross; SE14 6TY,7783,open
Apples & Pears,26 Osborn Street; Brick Lane; E1 6TD,23889,open
Aquarium,256 Old Street; Hoxton; EC1V 9DD,674,open
Aquum Bar And Restaurant,68-70 Clapham High Street; Clapham Common; SW4 7UL,18616,open
Arboretum,"2A CHARING CROSS ROAD, WC2H 0HF",177231,open
"Arcadia Loungebar, Bexleyheath","247 Broadway, DA6 8DB, Bexleyheath, Bexley",165334,open
Arch 1,"Unit 1, West Ham Arches, Cranberry Lane, E16 4BJ",91634,open
Arch 504,"504 Ridgway Road, Brixton",176762,open
Arcola Bar,"24 Ashwin St, E8 3DL",127656,open
Arsenal Tavern,"175 Blackstock Road, N4 2JS",182967,open
Artis Blackheath,"No1, Lawn Terrace, Blackheath, SE3 9LJ",180716,open
Aures London,"Unit 7, 18 Leake Street, SE1 7NN",145914,open
Autumn Studios,"Autumn Yard, Autumn Street, E3 2TT",165355,open
Backyard Comedy Club,"231 Cambridge Heath Road, Bethnal Green, E2 0EL",159886,open
Bambu,"1, Wrottesley Street, B5 4RT",174048,open
Banking Hall,"14, Cornhill, EC3V 3ND",179219,open
Bar & Co,"Templer Pier, Victoria Embankment, WC2R2",132730,open
Bar A Bar,133-135 Stoke Newington Road; Stoke Newington; N16 8BT,19297,open
Bar&Co,Temple Pier; Embankment; WC2R 2PN,14700,open
The Barbican Centre,Silk Street; EC2Y 8DS,31835,open
The Barbican Hall,Silk Street; Barbican; EC2Y 8DS,2237,open
Basing House,25 Kingsland Road; Shoreditch; E2 8AA,30015,open
The BBE Store,"376 Helmsley Pl, E8 3SB",136882,open
Beach Blanket Babylon,"19-23 Bethnal Green Rd, E1 6LA",109009,open
Beckenham Park,"Beckenham Hill Rd, Beckenham BR3 1SY",165446,open
Beckenham Park Mansion,"Beckenham Place Park, BR3 1SY",131787,open
The Bedford,77 Bedford Hill; Balham; SW12 9HD,7189,open
The Beehive Bow,"Bromley By Bow, 104 Empson Street",175925,open
Behind This Wall,"411 Mare St, E8 1HY, UK",158097,open
Bermondsey Social Club,"Arch 19 Almond Road, Bermondsey, SE16 3LR",108863,open
Bernie Grant Arts Centre,"Townhall Approach Rd, N15 4RX",34849,open
Berwick Manor,"Berwick Pond Road, Rainham, Essex, RM13 9EL",154790,open
Bethnal Green Workingmen's Club,44-46 Pollard Row; Bethnal Green; E2 6NB,13734,open
BFI Southbank,Belvedere Road; Southwark; SE1 8XT,11626,open
Bianca Road Brew Co.,"Unit 1, 95 Haymerle Rd, Access via Bianca Rd, SE15 6SJ",128979,open
The Big Chill House,257-259 Pentonville Road; Kings Cross; N1 9NL,4655,open
The Birds Nest,"32 Deptford Church St, SE8 4RZ",125096,open
Bisoux,"51a High Street, Esher, Surrey KT10 9RQ",126480,open
Bloc (Autumn Street),Unit 3; 39 Autumn St; Hackney Wick; E3 2TT,62301,open
Bloomsbury Bowling Lanes,Tavistock Hotel Basement; Bedford Way; Bloomsbury; WC1H 9EU,5357,open
The Boiler House,"152 Brick Lane, East E1 6RU",124730,open
Boisdale of Canary Wharf,"Cabbot Place, E14 4QT",154637,open
Bojangles Brasserie,"1,Old Church Road, Chingford, E4 6SJ",142516,open
Boma Bridge,"4-6 Putney High St, Putney, SW15 1SL",181466,open
Bomo Bunker,"24-26 Holdenhurst Road, Bournemouth BH8 8AD",147860,open
