promoter_id,promoter_name,event_id,club_id
1033,LWE,523058,83715
28724,Circo Loco London,528559,1525
3007,Electric Minds,442148,1103
4517,nofitstate,506450,29800
34828,Dawn LDN,541266,13311
3499,Corsica Studios,516085,2587
15408,XOYO,544510,33592
28535,Troupe London,527591,34179
6831,Funkinyou,530006,874
967,fabric,537623,237
25531,Regression Sessions,537648,23884
633,Jaded,540326,2587
38897,Lokee Musik,550438,87076
4659,Republic Artists,528680,38109
14836,The Nest,528942,36034
10672,Cargo London,539693,640
35156,Bass Nation,539519,852
10672,Cargo London,541474,640
27131,*underground,547951,3269
19828,Club Exclu,544782,29859
35931,chris wee,542194,16518
34363,Funk and Soul Club,544175,1557
39371,Siblings,543806,170808
24331,Dennis Soulmates,550490,72435
9570,Innovation,544734,78322
16783,VOID,549928,3393
5782,Kerfuffle,551623,1557
37645,GForcePR,540138,2875
6715,Batty Bass,548390,9731
2163,EGG,645547,874
16385,ClubExclu,549410,29859
16910,Big Fish Afterhours,659410,674
16910,Big Fish Afterhours,550984,674
47657,FOREVER,664188,63354
16517,Plastic People,536825,738
36225,beepr,547323,874
14836,The Nest,543430,36034
22983,Rhythm Factory,550628,737
5377,Neil Thornton,546784,5355
16910,Big Fish Afterhours,552003,674
32234,Shut The Front Door,547070,4368
4790,KCC Soundsystem,544149,2344
30465,Fire In Session,550169,1103
26450,Dysfunctional,537815,13311
24651,The Chronic Love Foundation [CLF],544389,21896
15408,XOYO,546662,33592
967,fabric,543277,237
36225,beepr,547533,874
210,Soundcrash,542091,2038
31719,SUMO London,550425,737
16910,Big Fish Afterhours,550991,674
40556,finally music,550895,5355
18511,Listed,545273,29859
14836,The Nest,543459,36034
10672,Cargo London,549481,640
7070,Orlando Boom,547183,21958
13126,Audio Sushi,551736,1857
4892,club genius,548521,3106
967,fabric,548438,237
16910,Big Fish Afterhours,543178,674
24993,Thomas Wonderland,552484,170808
31972,cbeatfreakz,552325,170808
37817,PARADOX LDN,547928,874
39371,Siblings,549171,170808
33535,Coup d'Etat,549511,71000
7280,Rinse,552124,72435
37190,Fresh London,553835,73730
41476,Wolf Howling,542011,68826
16910,Big Fish Afterhours,550985,674
36773,Sessions,547198,2587
31972,cbeatfreakz,552333,170808
29744,YOUR MUM'S HOUSE,553983,36034
28605,JR Events,542598,1103
3499,Corsica Studios,541252,2587
30191,xproject,545181,874
38823,Astral Industries,537153,51767
15408,XOYO,532568,33592
18624,Oonst,546103,30015
14836,The Nest,543662,36034
36154,Safe,548553,21896
15734,Wifey,542666,61205
22983,Rhythm Factory,550634,737
36880,SVS RECORDS,544706,72435
967,fabric,542880,237
16517,Plastic People,548493,738
